Inverter_ID,Season,Irradiance_Wm2,Temperature_C,Bus_Voltage_pu,Load_Demand_MW,Control_Scheme,Reactive_Power_Setting_MVAR,Voltage_Setting_pu,VOCR,Power_Loss_kW
PV3,Monsoon,583.31,34.5,0.909,0.782,Decentralized,0.187,0.919,0.018,1.82
PV6,Monsoon,868.72,31.6,0.904,0.482,Decentralized,0.244,0.914,0.023,1.83
PV1,Winter,144.55,40.2,0.938,0.478,Distributed,0.079,0.958,0.046,2.6
PV3,Summer,849.99,17.8,0.983,0.999,Distributed,0.22,1.003,0.041,2.37
PV1,Monsoon,859.53,40.6,1.087,0.432,Decentralized,0.242,1.097,0.019,1.9
PV5,Summer,356.42,37.6,0.991,0.404,Decentralized,0.141,1.001,0.038,2.13
PV2,Monsoon,516.57,36.2,0.958,0.369,Distributed,0.153,0.978,0.039,1.85
PV6,Monsoon,494.68,29.6,1.012,0.706,Decentralized,0.169,1.022,0.016,1.92
PV2,Summer,296.66,18.6,0.922,0.74,Decentralized,0.129,0.932,0.02,2.28
PV2,Monsoon,457.12,24.8,1.022,0.556,Decentralized,0.161,1.032,0.027,1.75
PV6,Monsoon,139.95,37.8,1.014,0.675,Decentralized,0.098,1.024,0.03,1.96
PV3,Winter,350.04,11.1,1.058,0.852,Decentralized,0.14,1.068,0.031,2.24
PV5,Monsoon,835.01,37.4,1.097,0.873,Decentralized,0.237,1.107,0.017,1.85
PV1,Monsoon,356.11,18.4,0.95,0.971,Distributed,0.121,0.97,0.039,1.98
PV4,Monsoon,836.39,15.1,1.002,0.877,Decentralized,0.237,1.012,0.024,1.71
PV1,Winter,578.44,14.0,1.082,0.695,Distributed,0.166,1.102,0.042,2.54
PV4,Summer,891.88,11.0,1.057,0.426,Distributed,0.228,1.077,0.043,2.2
PV1,Winter,617.3,28.3,0.997,0.37,Decentralized,0.193,1.007,0.044,2.21
PV6,Winter,126.7,17.6,1.089,0.338,Distributed,0.075,1.109,0.054,2.31
PV5,Summer,707.88,44.6,0.911,0.767,Distributed,0.192,0.931,0.047,2.56
PV4,Winter,140.37,30.1,1.086,0.865,Distributed,0.078,1.106,0.052,2.51
PV3,Summer,505.54,14.8,0.91,0.656,Decentralized,0.171,0.92,0.022,2.6
PV1,Winter,936.48,34.1,1.009,0.338,Distributed,0.237,1.029,0.054,2.51
PV1,Summer,248.68,41.4,1.078,0.675,Decentralized,0.12,1.088,0.024,2.33
PV4,Monsoon,450.89,36.1,0.953,0.955,Distributed,0.14,0.973,0.039,1.86
PV3,Winter,756.87,12.7,0.994,0.718,Distributed,0.201,1.014,0.043,2.39
PV3,Winter,894.03,41.4,0.965,0.867,Distributed,0.229,0.985,0.055,2.35
PV6,Winter,703.85,37.8,1.09,0.86,Distributed,0.191,1.11,0.041,2.41
PV6,Winter,332.36,15.5,1.065,0.952,Decentralized,0.136,1.075,0.035,2.48
PV6,Monsoon,707.15,11.8,1.042,0.839,Distributed,0.191,1.062,0.022,1.78
PV6,Winter,367.05,29.5,1.018,0.823,Distributed,0.123,1.038,0.05,2.33
PV6,Monsoon,746.59,15.5,1.064,0.464,Decentralized,0.219,1.074,0.027,1.81
PV6,Monsoon,958.63,39.2,0.978,0.342,Decentralized,0.262,0.988,0.024,1.88
PV5,Monsoon,749.25,22.5,0.99,0.662,Decentralized,0.22,1.0,0.02,1.96
PV3,Monsoon,876.59,42.0,1.046,0.387,Distributed,0.225,1.066,0.021,2.04
PV6,Summer,101.89,29.8,0.972,0.974,Decentralized,0.09,0.982,0.037,2.17
PV3,Summer,745.81,16.4,0.913,0.503,Decentralized,0.219,0.923,0.032,2.11
PV3,Winter,846.63,14.9,0.915,0.897,Decentralized,0.239,0.925,0.04,2.43
PV2,Summer,136.5,30.2,0.923,0.571,Decentralized,0.097,0.933,0.034,2.54
PV5,Summer,884.44,36.7,1.074,0.526,Decentralized,0.247,1.084,0.033,2.01
PV6,Winter,331.02,37.4,0.994,0.955,Decentralized,0.136,1.004,0.034,2.61
PV1,Winter,698.76,19.7,1.043,0.554,Distributed,0.19,1.063,0.052,2.49
PV4,Winter,820.32,17.1,0.979,0.573,Decentralized,0.234,0.989,0.038,2.3
PV1,Summer,696.4,10.6,0.952,0.374,Distributed,0.189,0.972,0.049,2.19
PV5,Summer,183.06,33.8,0.969,0.769,Decentralized,0.107,0.979,0.034,2.13
PV4,Winter,636.69,12.7,1.059,0.502,Decentralized,0.197,1.069,0.026,2.73
PV5,Monsoon,594.63,24.7,1.025,0.71,Decentralized,0.189,1.035,0.018,1.89
PV3,Winter,910.29,31.1,1.088,0.714,Distributed,0.232,1.108,0.036,2.54
PV4,Monsoon,463.82,42.8,1.036,0.803,Decentralized,0.163,1.046,0.012,1.94
PV3,Monsoon,388.97,20.9,1.014,0.822,Decentralized,0.148,1.024,0.022,1.96
PV1,Winter,774.87,18.7,1.022,0.66,Decentralized,0.225,1.032,0.042,2.5
PV1,Winter,471.41,32.9,1.088,0.532,Decentralized,0.164,1.098,0.027,2.21
PV4,Winter,681.49,31.7,1.058,0.886,Distributed,0.186,1.078,0.045,2.4
PV4,Summer,681.81,21.6,0.905,0.517,Distributed,0.186,0.925,0.051,2.11
PV6,Monsoon,899.24,42.5,1.007,0.655,Distributed,0.23,1.027,0.036,1.97
PV5,Summer,638.82,39.6,1.038,0.581,Distributed,0.178,1.058,0.041,2.03
PV6,Summer,551.94,17.8,1.05,0.899,Distributed,0.16,1.07,0.047,2.34
PV5,Winter,224.98,18.4,0.943,0.602,Decentralized,0.115,0.953,0.035,2.33
PV6,Summer,204.16,27.9,1.073,0.57,Decentralized,0.111,1.083,0.021,2.57
PV3,Winter,238.89,37.1,1.091,0.783,Decentralized,0.118,1.101,0.027,2.4
PV4,Monsoon,254.66,11.5,0.947,0.722,Distributed,0.101,0.967,0.024,1.83
PV1,Winter,674.09,34.3,1.077,0.375,Decentralized,0.205,1.087,0.032,2.75
PV5,Summer,766.88,32.7,0.919,0.656,Distributed,0.203,0.939,0.051,2.25
PV5,Summer,576.99,18.1,0.911,0.815,Decentralized,0.185,0.921,0.034,2.58
PV1,Winter,846.12,33.8,0.926,0.994,Distributed,0.219,0.946,0.045,2.21
PV6,Winter,992.14,42.9,0.912,0.74,Decentralized,0.268,0.922,0.035,2.38
PV5,Summer,838.01,11.6,1.069,0.559,Decentralized,0.238,1.079,0.023,2.4
PV3,Monsoon,725.39,21.2,0.912,0.458,Decentralized,0.215,0.922,0.024,2.06
PV4,Monsoon,579.24,25.3,0.954,0.911,Decentralized,0.186,0.964,0.026,1.8
PV1,Winter,503.97,41.5,0.921,0.87,Distributed,0.151,0.941,0.04,2.76
PV4,Monsoon,175.95,43.7,0.959,0.464,Decentralized,0.105,0.969,0.011,1.94
PV5,Summer,459.43,25.5,0.918,0.44,Decentralized,0.162,0.928,0.03,2.48
PV5,Winter,919.12,36.3,1.034,0.801,Decentralized,0.254,1.044,0.036,2.44
PV1,Summer,827.22,28.6,0.927,0.52,Distributed,0.215,0.947,0.038,2.13
PV3,Summer,294.45,28.8,1.07,0.514,Decentralized,0.129,1.08,0.031,2.55
PV2,Monsoon,519.95,19.7,1.063,0.407,Decentralized,0.174,1.073,0.021,2.07
PV1,Winter,835.05,17.6,0.903,0.485,Decentralized,0.237,0.913,0.03,2.5
PV2,Winter,160.65,20.1,1.079,0.599,Decentralized,0.102,1.089,0.033,2.2
PV6,Monsoon,448.65,29.5,0.906,0.813,Decentralized,0.16,0.916,0.019,1.74
PV2,Summer,866.66,11.0,0.948,0.535,Distributed,0.223,0.968,0.05,2.34
PV3,Summer,463.51,41.8,0.906,0.53,Distributed,0.143,0.926,0.052,2.01
PV6,Summer,169.85,15.5,0.967,0.499,Distributed,0.084,0.987,0.05,2.24
PV2,Summer,588.28,17.7,1.003,0.635,Decentralized,0.188,1.013,0.032,2.18
PV6,Winter,875.57,28.1,1.059,0.426,Distributed,0.225,1.079,0.048,2.63
PV2,Winter,631.26,34.9,0.968,0.64,Decentralized,0.196,0.978,0.039,2.23
PV3,Monsoon,303.65,13.4,1.041,0.793,Decentralized,0.131,1.051,0.029,1.9
PV2,Monsoon,445.82,21.1,0.938,0.321,Decentralized,0.159,0.948,0.015,1.93
PV2,Winter,505.11,43.9,1.05,0.307,Decentralized,0.171,1.06,0.036,2.57
PV2,Winter,621.34,19.2,0.947,0.353,Distributed,0.174,0.967,0.051,2.44
PV1,Summer,783.42,21.0,0.929,0.675,Distributed,0.207,0.949,0.045,2.18
PV1,Summer,188.99,39.3,0.937,0.898,Distributed,0.088,0.957,0.034,2.41
PV1,Monsoon,900.69,11.8,0.936,0.303,Decentralized,0.25,0.946,0.022,2.04
PV3,Winter,111.08,26.3,1.003,0.956,Distributed,0.072,1.023,0.053,2.62
PV6,Monsoon,433.05,23.3,1.069,0.374,Distributed,0.137,1.089,0.03,2.07
PV5,Winter,124.68,21.1,0.916,0.889,Decentralized,0.095,0.926,0.041,2.63
PV2,Summer,453.68,20.0,1.041,0.638,Distributed,0.141,1.061,0.037,2.46
PV2,Monsoon,573.23,13.2,1.031,0.762,Decentralized,0.185,1.041,0.029,1.77
PV3,Monsoon,560.51,21.0,1.075,0.657,Distributed,0.162,1.095,0.031,1.87
PV2,Winter,249.07,11.5,0.949,0.634,Distributed,0.1,0.969,0.049,2.49
PV1,Summer,681.17,37.3,0.99,0.884,Distributed,0.186,1.01,0.029,2.15
PV5,Monsoon,140.3,23.9,1.085,0.829,Decentralized,0.098,1.095,0.013,1.91
PV4,Summer,785.72,25.5,1.032,0.638,Distributed,0.207,1.052,0.044,2.17
PV2,Monsoon,951.98,41.3,0.978,0.378,Distributed,0.24,0.998,0.028,1.98
PV1,Summer,405.79,33.0,0.926,0.381,Distributed,0.131,0.946,0.041,2.28
PV4,Winter,565.52,10.3,0.952,0.861,Distributed,0.163,0.972,0.036,2.48
PV5,Monsoon,441.02,43.0,1.016,0.671,Decentralized,0.158,1.026,0.027,2.09
PV4,Monsoon,106.04,18.3,1.044,0.637,Decentralized,0.091,1.054,0.026,1.86
PV1,Summer,447.29,13.8,0.925,0.776,Distributed,0.139,0.945,0.033,2.22
PV6,Summer,812.55,36.9,1.02,0.901,Distributed,0.213,1.04,0.044,2.19
PV6,Monsoon,636.39,27.5,1.01,0.74,Distributed,0.177,1.03,0.036,2.06
PV4,Winter,191.13,25.2,1.003,0.834,Decentralized,0.108,1.013,0.038,2.5
PV3,Summer,862.43,18.7,1.038,0.836,Distributed,0.222,1.058,0.036,2.36
PV4,Summer,577.98,29.2,1.067,0.549,Distributed,0.166,1.087,0.044,2.11
PV2,Summer,857.55,19.6,0.965,0.492,Decentralized,0.242,0.975,0.022,2.32
PV2,Monsoon,622.2,41.6,1.078,0.861,Decentralized,0.194,1.088,0.016,1.81
PV6,Monsoon,603.72,17.5,0.932,0.564,Decentralized,0.191,0.942,0.015,1.99
PV3,Monsoon,194.73,41.0,0.935,0.932,Distributed,0.089,0.955,0.031,2.03
PV1,Monsoon,250.62,29.6,0.953,0.349,Decentralized,0.12,0.963,0.012,1.99
PV2,Winter,974.82,39.0,0.924,0.341,Decentralized,0.265,0.934,0.044,2.64
PV6,Winter,305.64,34.9,0.946,0.949,Distributed,0.111,0.966,0.043,2.51
PV5,Monsoon,979.71,34.4,0.921,0.754,Decentralized,0.266,0.931,0.014,1.98
PV6,Winter,578.72,21.4,1.064,0.566,Distributed,0.166,1.084,0.046,2.45
PV2,Summer,222.21,18.2,0.928,0.829,Distributed,0.094,0.948,0.035,2.39
PV2,Summer,189.37,17.4,1.049,0.771,Decentralized,0.108,1.059,0.029,2.16
PV6,Summer,287.98,40.0,0.91,0.672,Distributed,0.108,0.93,0.037,2.04
PV1,Monsoon,933.07,38.7,1.09,0.369,Decentralized,0.257,1.1,0.013,1.87
PV4,Summer,472.74,25.4,1.042,0.869,Decentralized,0.165,1.052,0.023,2.28
PV2,Winter,455.89,14.6,0.901,0.906,Decentralized,0.161,0.911,0.034,2.35
PV6,Monsoon,381.89,23.4,1.053,0.421,Distributed,0.126,1.073,0.021,1.99
PV6,Winter,232.36,31.7,1.003,0.895,Decentralized,0.116,1.013,0.04,2.24
PV3,Summer,539.07,25.9,1.056,0.914,Distributed,0.158,1.076,0.044,2.13
PV4,Summer,217.04,37.3,1.004,0.685,Distributed,0.093,1.024,0.043,2.45
PV5,Summer,851.93,44.9,1.028,0.759,Distributed,0.22,1.048,0.042,2.26
PV1,Monsoon,433.36,16.7,1.057,0.568,Decentralized,0.157,1.067,0.022,1.98
PV5,Winter,437.32,26.1,0.981,0.497,Distributed,0.137,1.001,0.056,2.54
PV4,Monsoon,526.61,25.1,0.901,0.805,Distributed,0.155,0.921,0.02,2.08
PV4,Monsoon,499.71,20.7,1.07,0.903,Decentralized,0.17,1.08,0.011,1.94
PV4,Summer,995.37,16.9,0.976,0.758,Decentralized,0.269,0.986,0.022,2.01
PV5,Monsoon,590.84,12.3,0.999,0.658,Distributed,0.168,1.019,0.023,1.84
PV4,Monsoon,179.38,41.0,0.902,0.411,Distributed,0.086,0.922,0.024,1.76
PV6,Summer,646.19,24.7,0.998,0.337,Decentralized,0.199,1.008,0.031,2.55
PV5,Monsoon,236.43,27.4,1.097,0.612,Distributed,0.097,1.117,0.029,1.74
PV4,Summer,127.84,42.1,0.956,0.335,Distributed,0.076,0.976,0.053,2.23
PV6,Summer,973.67,37.2,0.979,0.699,Distributed,0.245,0.999,0.034,2.14
PV3,Summer,796.19,14.6,1.037,0.568,Distributed,0.209,1.057,0.036,2.51
PV4,Summer,982.1,29.8,1.063,0.83,Decentralized,0.266,1.073,0.038,2.19
PV5,Monsoon,530.09,25.5,0.983,0.514,Distributed,0.156,1.003,0.037,2.1
PV2,Summer,579.03,37.9,0.962,0.715,Decentralized,0.186,0.972,0.027,2.02
PV4,Summer,251.5,35.3,1.088,0.676,Distributed,0.1,1.108,0.042,2.08
PV2,Monsoon,322.22,34.2,1.035,0.303,Decentralized,0.134,1.045,0.027,1.79
PV6,Monsoon,854.69,21.9,0.924,0.351,Distributed,0.221,0.944,0.03,2.02
PV3,Winter,420.57,38.2,0.914,0.503,Decentralized,0.154,0.924,0.029,2.73
PV1,Monsoon,844.13,11.8,0.997,0.918,Distributed,0.219,1.017,0.037,1.73
PV3,Monsoon,738.11,15.6,0.944,0.403,Decentralized,0.218,0.954,0.021,1.71
PV4,Winter,259.45,21.7,0.951,0.798,Distributed,0.102,0.971,0.039,2.65
PV2,Monsoon,556.7,12.7,1.076,0.981,Distributed,0.161,1.096,0.03,1.75
PV2,Monsoon,709.65,18.2,0.918,0.853,Decentralized,0.212,0.928,0.018,1.75
PV5,Monsoon,311.53,39.1,1.043,0.47,Decentralized,0.132,1.053,0.028,1.71
PV2,Monsoon,847.62,43.2,0.954,0.936,Decentralized,0.24,0.964,0.013,1.72
PV5,Winter,590.34,20.7,1.052,0.365,Decentralized,0.188,1.062,0.043,2.36
PV6,Monsoon,248.72,19.3,1.044,0.628,Decentralized,0.12,1.054,0.02,1.73
PV1,Monsoon,624.69,19.8,0.901,0.921,Distributed,0.175,0.921,0.028,1.85
PV4,Winter,999.74,19.7,1.002,0.749,Decentralized,0.27,1.012,0.028,2.7
PV5,Summer,235.47,11.3,0.928,0.59,Decentralized,0.117,0.938,0.032,2.2
PV1,Winter,835.08,42.4,1.073,0.505,Distributed,0.217,1.093,0.056,2.64
PV2,Summer,286.58,17.5,1.074,0.563,Decentralized,0.127,1.084,0.026,2.06
PV2,Winter,804.15,24.7,0.984,0.656,Decentralized,0.231,0.994,0.03,2.6
PV1,Winter,761.12,10.3,0.989,0.523,Decentralized,0.222,0.999,0.036,2.39
PV2,Monsoon,370.44,40.0,0.961,0.978,Distributed,0.124,0.981,0.036,2.0
PV6,Summer,393.24,35.6,1.043,0.953,Decentralized,0.149,1.053,0.018,2.08
PV6,Monsoon,813.27,43.1,0.972,0.909,Distributed,0.213,0.992,0.033,2.06
PV1,Summer,515.3,37.4,0.954,0.595,Distributed,0.153,0.974,0.043,2.15
PV5,Winter,757.74,21.0,0.986,0.784,Decentralized,0.222,0.996,0.031,2.41
PV5,Winter,233.19,18.7,0.918,0.932,Distributed,0.097,0.938,0.045,2.77
PV1,Summer,867.3,34.4,1.049,0.895,Decentralized,0.243,1.059,0.023,2.35
PV5,Monsoon,739.8,22.7,0.903,0.59,Decentralized,0.218,0.913,0.026,1.85
PV5,Monsoon,916.25,29.8,1.029,0.379,Decentralized,0.253,1.039,0.023,2.08
PV6,Monsoon,219.14,10.2,0.937,0.353,Decentralized,0.114,0.947,0.021,1.83
PV5,Monsoon,633.71,12.2,0.946,0.704,Decentralized,0.197,0.956,0.018,1.74
PV3,Winter,639.21,28.7,1.027,0.75,Distributed,0.178,1.047,0.042,2.8
PV4,Winter,418.11,29.8,1.099,0.895,Distributed,0.134,1.119,0.054,2.36
PV2,Winter,512.62,36.3,1.056,0.505,Distributed,0.153,1.076,0.045,2.71
PV3,Winter,134.18,14.6,0.945,0.417,Distributed,0.077,0.965,0.047,2.3
PV5,Winter,771.27,28.0,0.935,0.565,Decentralized,0.224,0.945,0.035,2.64
PV6,Monsoon,594.39,16.8,1.073,0.548,Decentralized,0.189,1.083,0.019,1.91
PV1,Monsoon,151.97,13.3,0.989,0.393,Distributed,0.08,1.009,0.025,2.09
PV5,Monsoon,712.68,24.4,0.927,0.771,Decentralized,0.213,0.937,0.012,1.92
PV6,Monsoon,520.1,15.7,1.072,0.656,Distributed,0.154,1.092,0.022,1.71
PV4,Winter,131.02,17.8,1.063,0.805,Distributed,0.076,1.083,0.052,2.56
PV5,Winter,972.65,21.1,1.097,0.547,Distributed,0.245,1.117,0.04,2.29
PV1,Winter,954.2,19.1,1.082,0.528,Distributed,0.241,1.102,0.036,2.68
PV6,Summer,561.61,13.1,1.07,0.631,Decentralized,0.182,1.08,0.034,2.51
PV6,Monsoon,184.31,13.1,0.911,0.914,Decentralized,0.107,0.921,0.013,1.89
PV6,Monsoon,779.16,16.8,0.921,0.328,Distributed,0.206,0.941,0.033,2.01
PV4,Winter,542.74,11.8,1.014,0.863,Distributed,0.159,1.034,0.043,2.29
PV5,Monsoon,372.2,31.9,1.006,0.558,Distributed,0.124,1.026,0.023,1.9
PV4,Monsoon,542.28,20.1,0.992,0.898,Distributed,0.158,1.012,0.028,1.86
PV2,Winter,570.2,19.8,0.979,0.862,Distributed,0.164,0.999,0.035,2.57
PV2,Summer,606.44,21.6,0.986,0.544,Decentralized,0.191,0.996,0.035,2.03
PV5,Summer,497.1,33.2,1.014,0.786,Distributed,0.149,1.034,0.041,2.45
PV4,Summer,645.18,40.5,0.9,0.412,Distributed,0.179,0.92,0.031,2.05
PV1,Winter,926.86,36.6,0.952,0.927,Decentralized,0.255,0.962,0.03,2.59
PV6,Monsoon,426.04,35.5,1.004,0.583,Decentralized,0.155,1.014,0.019,1.71
PV6,Winter,753.14,27.0,1.044,0.619,Decentralized,0.221,1.054,0.029,2.7
PV5,Winter,905.01,34.3,0.935,0.794,Decentralized,0.251,0.945,0.03,2.3
PV2,Monsoon,510.38,29.3,1.009,0.875,Decentralized,0.172,1.019,0.021,1.91
PV2,Summer,499.11,17.6,1.043,0.465,Decentralized,0.17,1.053,0.035,2.16
PV6,Summer,641.91,17.3,0.989,0.763,Decentralized,0.198,0.999,0.026,2.43
PV5,Winter,632.27,20.4,0.905,0.574,Decentralized,0.196,0.915,0.039,2.39
PV4,Summer,825.93,41.9,0.99,0.558,Decentralized,0.235,1.0,0.036,2.43
PV2,Winter,528.84,29.2,0.959,0.783,Distributed,0.156,0.979,0.04,2.37
PV4,Winter,996.51,35.7,1.086,0.571,Decentralized,0.269,1.096,0.041,2.65
PV2,Monsoon,153.52,22.1,0.925,0.542,Distributed,0.081,0.945,0.035,1.71
PV2,Monsoon,102.85,24.3,1.03,0.885,Distributed,0.071,1.05,0.027,1.81
PV3,Monsoon,676.18,14.4,0.911,0.371,Distributed,0.185,0.931,0.04,1.9
PV2,Winter,368.59,16.0,0.989,0.773,Distributed,0.124,1.009,0.041,2.23
PV1,Monsoon,316.34,39.0,1.011,0.474,Distributed,0.113,1.031,0.025,1.77
PV5,Summer,380.71,30.5,0.96,0.311,Distributed,0.126,0.98,0.047,2.56
PV5,Summer,330.44,21.8,0.991,0.417,Distributed,0.116,1.011,0.039,2.59
PV4,Winter,127.71,38.1,0.933,0.725,Distributed,0.076,0.953,0.043,2.64
PV2,Winter,974.38,18.6,0.961,0.796,Decentralized,0.265,0.971,0.029,2.35
PV1,Monsoon,298.67,44.2,1.024,0.315,Distributed,0.11,1.044,0.035,1.8
PV4,Winter,760.63,22.1,0.96,0.325,Distributed,0.202,0.98,0.053,2.59
PV3,Winter,786.34,21.8,1.08,0.932,Distributed,0.207,1.1,0.048,2.27
PV4,Summer,936.33,20.9,1.026,0.351,Distributed,0.237,1.046,0.052,2.57
PV4,Summer,127.49,14.3,0.988,0.926,Decentralized,0.095,0.998,0.024,2.13
PV2,Monsoon,884.84,13.9,0.908,0.46,Distributed,0.227,0.928,0.024,2.1
PV3,Winter,574.5,32.7,1.0,0.818,Decentralized,0.185,1.01,0.039,2.5
PV4,Winter,669.29,40.6,1.053,0.517,Decentralized,0.204,1.063,0.04,2.66
PV1,Summer,680.02,37.7,0.953,0.901,Distributed,0.186,0.973,0.034,2.0
PV1,Winter,837.82,14.9,1.061,0.79,Distributed,0.218,1.081,0.037,2.73
PV5,Summer,400.07,29.1,0.95,0.581,Decentralized,0.15,0.96,0.034,2.16
PV3,Monsoon,759.75,13.7,1.065,0.353,Distributed,0.202,1.085,0.04,1.97
PV3,Summer,575.72,11.6,0.917,0.813,Distributed,0.165,0.937,0.044,2.48
PV5,Winter,814.05,33.0,1.073,0.732,Decentralized,0.233,1.083,0.031,2.3
PV4,Monsoon,991.49,28.7,1.0,0.302,Decentralized,0.268,1.01,0.03,1.88
PV3,Summer,280.59,12.9,0.959,0.307,Distributed,0.106,0.979,0.05,2.3
PV1,Summer,995.18,11.2,0.953,0.866,Distributed,0.249,0.973,0.041,2.19
PV1,Monsoon,180.83,44.6,0.986,0.482,Distributed,0.086,1.006,0.037,1.89
PV2,Monsoon,102.09,11.1,1.1,0.745,Decentralized,0.09,1.11,0.026,1.83
PV3,Summer,139.75,25.6,0.944,0.618,Distributed,0.078,0.964,0.051,2.22
PV4,Winter,407.6,27.7,0.921,0.904,Decentralized,0.152,0.931,0.042,2.6
PV5,Summer,669.62,14.1,1.017,0.942,Decentralized,0.204,1.027,0.031,2.38
PV5,Monsoon,162.13,15.9,0.998,0.998,Distributed,0.082,1.018,0.032,1.79
PV4,Summer,105.1,22.3,1.005,0.408,Decentralized,0.091,1.015,0.027,2.54
PV6,Monsoon,943.38,36.7,1.033,0.904,Distributed,0.239,1.053,0.033,2.05
PV2,Monsoon,839.73,27.7,0.953,0.486,Distributed,0.218,0.973,0.036,1.9
PV5,Winter,828.26,32.3,1.082,0.714,Decentralized,0.236,1.092,0.044,2.46
PV3,Monsoon,895.98,44.5,0.987,0.654,Distributed,0.229,1.007,0.029,1.85
PV2,Monsoon,730.03,36.9,0.926,0.313,Decentralized,0.216,0.936,0.021,1.98
PV3,Winter,193.96,25.2,1.048,0.953,Decentralized,0.109,1.058,0.034,2.6
PV1,Monsoon,459.19,25.6,1.029,0.355,Distributed,0.142,1.049,0.033,1.78
PV2,Winter,750.83,31.7,0.963,0.782,Distributed,0.2,0.983,0.049,2.6
PV5,Winter,352.3,33.3,1.024,0.85,Distributed,0.12,1.044,0.035,2.35
PV2,Monsoon,718.67,27.5,0.944,0.857,Distributed,0.194,0.964,0.031,1.71
PV2,Monsoon,122.05,32.6,0.989,0.395,Decentralized,0.094,0.999,0.012,1.98
PV2,Summer,375.52,10.8,1.08,0.613,Decentralized,0.145,1.09,0.019,2.39
PV6,Winter,594.22,25.0,0.927,0.881,Decentralized,0.189,0.937,0.041,2.45
PV2,Summer,668.88,19.8,0.977,0.512,Distributed,0.184,0.997,0.034,2.32
PV3,Monsoon,619.34,14.5,1.064,0.627,Decentralized,0.194,1.074,0.017,2.08
PV1,Summer,727.98,13.5,1.094,0.491,Decentralized,0.216,1.104,0.019,2.36
PV4,Winter,105.48,31.1,0.991,0.624,Distributed,0.071,1.011,0.039,2.59
PV2,Summer,190.85,28.3,1.001,0.921,Distributed,0.088,1.021,0.047,2.04
PV5,Winter,882.05,18.9,1.014,0.619,Distributed,0.226,1.034,0.046,2.3
PV2,Monsoon,713.57,26.5,1.086,0.689,Decentralized,0.213,1.096,0.028,1.82
PV5,Monsoon,201.64,27.2,1.072,0.583,Distributed,0.09,1.092,0.028,1.92
PV3,Winter,857.87,16.8,0.934,0.622,Decentralized,0.242,0.944,0.03,2.67
PV5,Monsoon,318.01,32.8,0.987,0.311,Decentralized,0.134,0.997,0.017,1.83
PV4,Monsoon,530.43,37.3,0.993,0.499,Decentralized,0.176,1.003,0.024,1.84
PV1,Monsoon,230.68,37.7,1.058,0.606,Decentralized,0.116,1.068,0.021,1.8
PV5,Monsoon,739.1,31.1,1.021,0.744,Decentralized,0.218,1.031,0.028,1.8
PV5,Winter,700.17,27.9,1.031,0.615,Distributed,0.19,1.051,0.049,2.77
PV1,Summer,290.0,12.1,1.1,0.536,Decentralized,0.128,1.11,0.028,2.38
PV4,Summer,877.06,20.1,0.915,0.572,Distributed,0.225,0.935,0.048,2.09
PV2,Monsoon,461.18,13.3,0.945,0.47,Decentralized,0.162,0.955,0.029,1.99
PV5,Summer,363.26,43.7,0.982,0.947,Decentralized,0.143,0.992,0.025,2.43
PV1,Summer,237.1,14.7,0.97,0.665,Distributed,0.097,0.99,0.034,2.4
PV3,Monsoon,339.55,15.3,0.904,0.309,Decentralized,0.138,0.914,0.022,1.75
PV1,Monsoon,119.82,41.1,0.918,0.314,Decentralized,0.094,0.928,0.02,1.86
PV3,Summer,624.93,43.0,1.036,0.981,Distributed,0.175,1.056,0.053,2.06
PV4,Winter,858.01,36.8,1.076,0.455,Distributed,0.222,1.096,0.046,2.69
PV2,Monsoon,594.08,10.2,1.003,0.864,Decentralized,0.189,1.013,0.011,1.96
PV1,Winter,297.35,10.0,1.008,0.341,Decentralized,0.129,1.018,0.045,2.5
PV6,Summer,130.3,23.2,0.951,0.945,Decentralized,0.096,0.961,0.035,2.21
PV5,Monsoon,293.17,15.0,1.054,0.912,Distributed,0.109,1.074,0.024,1.77
PV4,Winter,474.51,10.6,1.05,0.7,Decentralized,0.165,1.06,0.043,2.26
PV1,Monsoon,783.65,26.2,1.018,0.306,Distributed,0.207,1.038,0.027,2.09
PV5,Summer,269.06,43.0,0.943,0.48,Distributed,0.104,0.963,0.037,2.12
PV1,Winter,747.81,21.3,0.919,0.585,Decentralized,0.22,0.929,0.043,2.24
PV3,Summer,880.24,33.1,0.913,0.622,Distributed,0.226,0.933,0.041,2.58
PV1,Summer,508.55,32.8,1.019,0.508,Decentralized,0.172,1.029,0.021,2.33
PV6,Monsoon,839.29,18.8,1.065,0.323,Decentralized,0.238,1.075,0.017,2.02
PV1,Winter,599.19,32.8,1.072,0.713,Distributed,0.17,1.092,0.052,2.23
PV1,Summer,673.38,17.4,0.993,0.667,Distributed,0.185,1.013,0.032,2.34
PV6,Summer,573.65,14.3,1.057,0.498,Distributed,0.165,1.077,0.043,2.24
PV4,Winter,516.86,34.5,1.089,0.327,Distributed,0.153,1.109,0.051,2.66
PV1,Summer,311.19,14.0,0.955,0.996,Distributed,0.112,0.975,0.037,2.02
PV6,Summer,372.87,44.9,0.98,0.637,Distributed,0.125,1.0,0.045,2.24
PV5,Winter,360.97,16.4,1.086,0.829,Decentralized,0.142,1.096,0.043,2.68
PV3,Winter,606.96,30.8,0.968,0.617,Decentralized,0.191,0.978,0.034,2.51
